Education Level,Career,Years of Experience,Location,Salary
High School,Management,Less than 3,Oregon,Low
High School,Management,3 to 10,California,Low
College,Management,Less than 3,California,High
College,Service,More than 10,Oregon,Low
High School,Service,3 to 10,California,Low
College,Service,3 to 10 ,California ,High
College,Management,More than 10,California,High
College,Service,Less than 3,Oregon,Low
High School,Management,More than 10,Oregon,High
High School,Service,More than 10,Oregon,Low
High School,Service,Less than 3,California,Low
