inst#,actual,predicted,error,prediction
1,1:0,1:0,,0.721
2,2:1,2:1,,0.867
3,2:1,2:1,,0.728
4,2:1,1:0,+,0.62
5,2:1,2:1,,0.825
6,2:1,2:1,,0.66
7,2:1,2:1,,0.775
8,1:0,1:0,,0.785
9,1:0,1:0,,0.828
10,2:1,2:1,,0.774
11,1:0,1:0,,0.852
12,2:1,2:1,,0.824
13,2:1,2:1,,0.701
14,1:0,1:0,,0.636
15,1:0,1:0,,0.889
16,2:1,1:0,+,0.677
17,2:1,2:1,,0.879
18,1:0,1:0,,0.826
19,1:0,1:0,,0.869
20,1:0,1:0,,0.671
21,1:0,1:0,,0.801
22,2:1,2:1,,0.839
23,2:1,2:1,,0.708
24,2:1,2:1,,0.816
25,2:1,2:1,,0.891
26,1:0,1:0,,0.767
27,1:0,1:0,,0.812
28,1:0,1:0,,0.826
29,1:0,1:0,,0.909
30,1:0,1:0,,0.842
31,2:1,2:1,,0.895
32,1:0,1:0,,0.689
33,2:1,2:1,,0.757
34,1:0,1:0,,0.824
35,2:1,2:1,,0.695
36,2:1,2:1,,0.885
37,1:0,1:0,,0.687
38,1:0,1:0,,0.915
39,1:0,1:0,,0.855
40,1:0,1:0,,0.786
41,1:0,1:0,,0.853
42,1:0,1:0,,0.882
43,2:1,2:1,,0.915
44,2:1,2:1,,0.709
45,2:1,2:1,,0.763
46,2:1,2:1,,0.965
47,1:0,1:0,,0.781
48,2:1,2:1,,0.868
49,2:1,1:0,+,0.732
50,2:1,2:1,,0.824
51,2:1,2:1,,0.828
52,1:0,1:0,,0.827
53,2:1,2:1,,0.825
54,1:0,1:0,,0.667
55,2:1,2:1,,0.813
56,2:1,2:1,,0.759
57,2:1,2:1,,0.872
58,2:1,2:1,,0.962
59,2:1,2:1,,0.769
60,2:1,2:1,,0.831
61,2:1,2:1,,0.923
62,2:1,2:1,,0.746
63,2:1,2:1,,0.824
64,1:0,1:0,,0.826
65,1:0,1:0,,0.893
66,1:0,1:0,,0.818
67,2:1,2:1,,0.804
68,1:0,1:0,,0.695
69,2:1,2:1,,0.527
70,1:0,1:0,,0.8
71,1:0,1:0,,0.717
72,2:1,2:1,,0.782
73,1:0,1:0,,0.851
74,1:0,1:0,,0.827
75,2:1,2:1,,0.763
76,1:0,1:0,,0.782
77,1:0,1:0,,0.824
78,1:0,1:0,,0.794
79,1:0,1:0,,0.883
80,2:1,2:1,,0.8
81,2:1,2:1,,0.83
82,2:1,2:1,,0.829
83,2:1,2:1,,0.771
84,1:0,1:0,,0.904
85,1:0,2:1,+,0.518
86,1:0,1:0,,0.867
87,1:0,1:0,,0.864
88,1:0,1:0,,0.893
89,2:1,2:1,,0.878
90,1:0,1:0,,0.927
91,1:0,1:0,,0.986
92,2:1,2:1,,0.741
93,1:0,1:0,,0.811
94,2:1,2:1,,0.874
95,1:0,1:0,,0.79
96,2:1,2:1,,0.888
97,2:1,2:1,,0.879
98,2:1,2:1,,0.91
99,1:0,1:0,,0.689
100,2:1,2:1,,0.795
101,1:0,1:0,,0.738
102,2:1,2:1,,0.776
